cruise, day, pressure, theta, density, temp, salinity, oxygen, nitrate, 
280, 9965,  490.0,  7.3960,  26.673,  7.4438, 34.1228,   100.8,  32.108,
280, 9965,  492.0,  7.3722,  26.677,  7.4201, 34.1233,   100.1,  32.330,
280, 9965,  494.0,  7.3470,  26.682,  7.3951, 34.1259,    99.3,  32.242,
280, 9965,  496.0,  7.3180,  26.684,  7.3661, 34.1228,    98.2,  32.446,
280, 9965,  498.0,  7.2688,  26.691,  7.3170, 34.1234,    97.3,  33.040,
280, 9965,  500.0,  7.2225,  26.696,  7.2707, 34.1218,    97.6,  32.971,
280, 9965,  502.0,  7.1850,  26.700,  7.2332, 34.1194,    97.3,  33.045,
280, 9965,  504.0,  7.1397,  26.702,  7.1879, 34.1146,    96.9,  32.849,
280, 9965,  506.0,  7.1047,  26.711,  7.1531, 34.1197,    96.8,  33.108,
280, 9965,  508.0,  7.0841,  26.712,  7.1326, 34.1176,    96.4,  33.106,
280, 9965,  510.0,  7.0620,  26.716,  7.1106, 34.1180,    94.8,  33.482,
280, 9965,  512.0,  7.0281,  26.722,  7.0767, 34.1203,    94.1,  33.445,
280, 9965,  514.0,  7.0157,  26.729,  7.0645, 34.1267,    92.5,  34.114,
280, 9965,  516.0,  6.9718,  26.735,  7.0207, 34.1263,    90.5,  34.123,
280, 9965,  518.0,  6.9295,  26.740,  6.9784, 34.1260,    89.0,  33.973,
280, 9965,  520.0,  6.8853,  26.745,  6.9342, 34.1240,    87.5,  33.722,
280, 9965,  522.0,  6.8361,  26.750,  6.8850, 34.1226,    86.0,  33.903,
280, 9965,  524.0,  6.7993,  26.755,  6.8483, 34.1226,    85.8,  33.884,
280, 9965,  526.0,  6.7701,  26.759,  6.8191, 34.1218,    85.2,  34.185,
280, 9965,  528.0,  6.7471,  26.762,  6.7962, 34.1220,    84.0,  34.743,
280, 9965,  530.0,  6.7228,  26.766,  6.7721, 34.1237,    83.0,  34.722,
280, 9965,  532.0,  6.6818,  26.770,  6.7310, 34.1218,    82.3,  34.645,
280, 9965,  534.0,  6.6456,  26.774,  6.6949, 34.1207,    81.9,  35.025,
280, 9965,  536.0,  6.6088,  26.778,  6.6581, 34.1196,    81.6,  35.153,
280, 9965,  538.0,  6.5443,  26.784,  6.5936, 34.1164,    81.2,  35.028,
280, 9965,  540.0,  6.5099,  26.788,  6.5592, 34.1156,    80.5,  35.652,
280, 9965,  542.0,  6.4896,  26.791,  6.5390, 34.1161,    80.0,  35.507,
